Number,Period,Due Date,Time,Important,Urgent,Priority,Category,Dependency,Stretch,Task
17,DAILY,DAILY,,0,1,1,Personal,,,Walk to the store
7,MONTHLY,xx/01/xxxx,,1,1,11,Personal,,7,Call my son
36,ONCE,2/1/2021,,2,4,24,Personal,,,get spare keys made
41,ONCE,2/1/2021,,2,4,24,Personal,,,Ask doctor about sleep study
23,ONCE,2/1/2021,,3,3,33,Personal,,,Check with Erin about expense report
40,ONCE,2/1/2021,,3,4,34,Personal,,,Fix-a-flat & lighter
24,ONCE,2/1/2021,,3,6,36,Personal,,,Set up call with H&R Block about taxes
28,ONCE,2/1/2021,,4,2,42,Personal,,,"Craigslist: monitor, upholstery foam, Adirondack chair, rice cooker, picture frame"
211,ONCE,2/1/2021,,4,3,43,HMUH,,,Get stickers
25,ONCE,2/1/2021,,4,4,44,Personal,,,"Goodwill: monitor, upholstery foam, Adirondack chair, rice cooker, picture frame"
26,ONCE,2/1/2021,,4,4,44,Personal,,,"Uninstall Office 2007, add 2010 to new PC"
209,ONCE,2/1/2021,,4,6,46,HMUH,,,Have episodes transcribed
210,ONCE,2/1/2021,,4,6,46,HMUH,,,HMUH business cards w/QR code on back
27,ONCE,2/1/2021,,4,6,46,Personal,,,buy a laserjet printer
30,ONCE,2/1/2021,,4,8,48,Personal,,,Buy monitors
2,YEARLY,02/01/xxxx,,5,1,51,Personal,,14,Mail b-day cards
207,ONCE,2/1/2021,,5,3,53,HMUH,,,Audry - look at horror and psychology podcasts
11,WEEKLY,Tuesday,,5,6,56,Personal,,3,Read a chapter of new book
507,ONCE,2/1/2021,,6,3,63,Music,,,Contact the sound engineer for Good Morning Aztlan
508,ONCE,2/1/2021,,6,3,63,Music,,,Post English phrase list scraping request on Fiverr
512,ONCE,2/1/2021,,6,3,63,Music,,,Music idea: Pedal point
513,ONCE,2/1/2021,,6,3,63,Music,,,Music idea: Minor 9ths or 11ths
307,ONCE,2/1/2021,,6,6,66,Family,,,Find geneologist to research our family
9,MONTHLY,xx/03/xxxx,,6,6,66,Personal,,7,Sharpen knives
600,ONCE,2/1/2021,,7,3,73,Entertainment,,,Watch movie
216,ONCE,2/1/2021,,8,5,85,HMUH,,,Work on Skype recording option
700,ONCE,2/1/2021,,9,3,93,Back Burner,,,Build up a Home Maintenance Guide
701,ONCE,2/1/2021,,9,3,93,Back Burner,,,design a contraption to help me sleep better
19,DAILY,DAILY,,0,1,1,Personal,39,,temp task that should only show up later
104,ONCE,2/1/2021,,2,2,22,Home,101,,Clean mold off china cabinet - use water & bleach
108,ONCE,2/1/2021,,2,2,22,Home,101,,"Clean up wall where old pipe was: take out bolts, fill in holes"
106,ONCE,2/1/2021,,2,3,23,Home,105,,Buy 3 wall protectors - need to wait until baseboards are put in.
103,ONCE,2/1/2021,,3,3,33,Home,101,,"Get 3 floor quotes (asbestos, addition floor level, back porch)"
105,ONCE,2/1/2021,,3,3,33,Home,104,,Have Jason put the baseboards back on
37,ONCE,2/1/2021,,4,4,44,Personal,36,,Send AJ PO box key
213,ONCE,2/1/2021,,4,6,46,HMUH,200,,Read about QR Code advertising
102,ONCE,2/1/2021,,6,3,63,Home,101,,Check out home remodeling supply store near tri-city screw
509,ONCE,2/1/2021,,6,3,63,Music,507,,Add English phrase list to rhyming dictionary
309,ONCE,2/1/2021,,7,2,72,Family,308,,Purchase an AWS compute instance (~$10/mo)
602,ONCE,2/1/2021,,7,3,73,Entertainment,601,,Fall of Civilizations: https://www.youtube.com/c/FallofCivilizationsPodcast/videos
310,ONCE,2/1/2021,,7,4,74,Family,309,,Set up a wiki on my compute instance & start filling out bio pages.
